Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR18856083_1 - illumina_small_rna_3'_adapter	(1, 0.0009504023052958317)	(2, 1.0538060761120183)	(3, 1.0873869575658042)	(4, 1.1951625789863516)	(5, 1.4185071207308722)	(6, 1.8023006916605577)	(7, 2.367198701877171)	(8, 2.955497728855291)	(9, 3.7298432871078773)	(10, 5.093522754848794)	(11, 6.803845623407944)	(12, 8.513936171403577)	(13, 10.038634909712837)	(14, 11.339777905765288)	(15, 12.300803596829205)	(16, 13.036224900667118)	(17, 14.332489164885718)	(18, 16.127609039128487)	(19, 19.091174627553176)	(20, 25.798121455923404)	(21, 42.881307212898776)	(22, 48.61508432074853)	(23, 54.285649115270495)	(24, 60.33705067355012)	(25, 64.29887660335508)	(26, 66.82506705088264)	(27, 68.82857847059994)	(28, 71.24847170029295)	(29, 73.1800693455762)	(30, 75.30871706882412)	(31, 77.60480455821394)	(32, 79.94524415518423)	(33, 82.7754577401503)	(34, 87.07854145771016)	(35, 89.58720226271781)	(36, 91.05601734547567)	(37, 92.06705531784938)	(38, 92.99137435987765)	(39, 93.84162538224653)	(40, 94.69202424497401)	(41, 97.2222063821838)	(42, 97.44470612187916)	(43, 97.55736047513356)	(44, 97.65227398535578)	(45, 97.71875990662403)	(46, 97.77468580227789)	(47, 97.83530034930453)	(48, 97.84478325230626)	(49, 97.85811000463163)	(50, 97.87306300090161)	(51, 97.87635772889331)	(52, 97.87808957309407)	(53, 97.87996925765343)	(54, 97.88079293965136)	(55, 97.8813420609833)	(56, 97.88189118231526)	(57, 97.88222910313492)	(58, 97.88271486431317)	(59, 97.88279934451809)	(60, 97.88290494477424)	(61, 97.88317950544021)	(62, 97.88328510569636)	(63, 97.88334846585003)
SRR18856084_1 - illumina_small_rna_3'_adapter	(1, 0.0013565618790968958)	(2, 1.0382430567692753)	(3, 1.092221600377061)	(4, 1.2058573187144337)	(5, 1.42164530134287)	(6, 1.6744705780657194)	(7, 2.0804611553238113)	(8, 2.529924808614357)	(9, 3.025480017843521)	(10, 3.813579373697464)	(11, 4.784940775032195)	(12, 5.806147938436067)	(13, 6.717063466274294)	(14, 7.485981668116821)	(15, 8.165524525692335)	(16, 8.743104406680846)	(17, 9.961013042553768)	(18, 11.58021161103396)	(19, 14.406245484699559)	(20, 21.423329961909005)	(21, 40.272536436305636)	(22, 46.6495129942854)	(23, 52.729623336397694)	(24, 58.85633000165942)	(25, 63.127480851971335)	(26, 65.8471350359552)	(27, 67.98233188570303)	(28, 70.65772429488753)	(29, 72.8567111009036)	(30, 75.19201660179357)	(31, 77.56492725989013)	(32, 79.89382852679273)	(33, 82.9372277806206)	(34, 87.59717557507182)	(35, 89.74142668666386)	(36, 91.09827249731684)	(37, 92.14361384298837)	(38, 93.02705110578722)	(39, 93.87017008762128)	(40, 94.87273241217524)	(41, 97.10926127949655)	(42, 97.39060590363111)	(43, 97.52045726861628)	(44, 97.62762565706494)	(45, 97.71917780992864)	(46, 97.79609171367836)	(47, 97.85660068307622)	(48, 97.86780020556645)	(49, 97.88499383868523)	(50, 97.9016827045932)	(51, 97.90471130785815)	(52, 97.90594167793455)	(53, 97.90704585620823)	(54, 97.90764526727108)	(55, 97.90824467833394)	(56, 97.90865480169273)	(57, 97.90909647300221)	(58, 97.90950659636101)	(59, 97.90969588406507)	(60, 97.90975897996643)	(61, 97.9099167197198)	(62, 97.91004291152251)	(63, 97.9100744594732)
SRR18856085_1 - illumina_small_rna_3'_adapter	(1, 0.0011607949252625412)	(2, 1.166534411281895)	(3, 1.2331833865740525)	(4, 1.380088433226723)	(5, 1.7360977879440485)	(6, 2.032584158438189)	(7, 2.3773080069376844)	(8, 2.8798677209694055)	(9, 3.4208948890521884)	(10, 4.389288055452464)	(11, 5.565076581832979)	(12, 6.919756503917844)	(13, 7.929744821806693)	(14, 8.924030163901019)	(15, 9.648333952961366)	(16, 10.30427981864514)	(17, 11.52824133442405)	(18, 13.073743044500686)	(19, 15.914562913956399)	(20, 23.537567676762464)	(21, 47.555414253852305)	(22, 52.831517387901876)	(23, 58.17059364664693)	(24, 64.43043823555303)	(25, 68.47809789564002)	(26, 71.13228773655631)	(27, 72.82685486161874)	(28, 74.90483899935609)	(29, 76.52585686818173)	(30, 78.36632946648898)	(31, 80.40075155022551)	(32, 82.40331626212426)	(33, 84.7463808187667)	(34, 90.12979299479609)	(35, 92.14006409522645)	(36, 93.39062716137597)	(37, 94.17264825366465)	(38, 94.83888005215839)	(39, 95.46883700923767)	(40, 96.05162055032642)	(41, 97.14321920032192)	(42, 97.3592237893312)	(43, 97.47446492996698)	(44, 97.58390209597646)	(45, 97.673573503953)	(46, 97.75482914872137)	(47, 97.86800665393447)	(48, 97.88612795248996)	(49, 97.907312459876)	(50, 97.93349483430136)	(51, 97.94149142156428)	(52, 97.94326485825566)	(53, 97.94552195949922)	(54, 97.94690846454884)	(55, 97.94748886201147)	(56, 97.94829496959846)	(57, 97.94897209997153)	(58, 97.9499716733794)	(59, 97.95035860502115)	(60, 97.95068104805594)	(61, 97.95119695691162)	(62, 97.95129368982205)	(63, 97.95148715564294)
SRR18856086_1 - illumina_small_rna_3'_adapter	(1, 0.0033120180645324266)	(2, 1.5004283870822874)	(3, 1.5211284999856152)	(4, 1.655588013020722)	(5, 1.9864670380524212)	(6, 2.0468973337552883)	(7, 2.11198690910826)	(8, 2.265715069612024)	(9, 2.3695384155502053)	(10, 2.659396132096192)	(11, 2.9719748539238644)	(12, 3.346906526008815)	(13, 3.8447056479030084)	(14, 4.384438286648146)	(15, 4.950512696186197)	(16, 5.5215130308964975)	(17, 6.626071055418062)	(18, 8.217004546306153)	(19, 10.538083646700297)	(20, 14.041132176887025)	(21, 18.243760319357133)	(22, 24.024649273426036)	(23, 31.272972739705555)	(24, 42.33104322253744)	(25, 48.32293298847179)	(26, 51.84539050587568)	(27, 54.69668721006685)	(28, 57.76188975891736)	(29, 60.85409367537873)	(30, 64.23642195390822)	(31, 67.76380539648434)	(32, 72.79690803466112)	(33, 78.3089340985592)	(34, 84.08399895306547)	(35, 88.31291273042909)	(36, 92.11007127154127)	(37, 93.96926419168165)	(38, 95.21724943916728)	(39, 96.21294592077962)	(40, 96.73725522116492)	(41, 97.24183275291152)	(42, 97.47948408301657)	(43, 97.60244977064977)	(44, 97.7108060904644)	(45, 97.83691538846394)	(46, 97.87159334031757)	(47, 97.89423014175016)	(48, 97.90565379727784)	(49, 97.91493025465348)	(50, 97.91801772912042)	(51, 97.91963163622815)	(52, 97.92100696576341)	(53, 97.92203144592744)	(54, 97.92273314466993)	(55, 97.92321029981483)	(56, 97.92381376073335)	(57, 97.92417864407945)	(58, 97.92454352742554)	(59, 97.92468386717404)	(60, 97.92481017294769)	(61, 97.92524522616803)	(62, 97.92532943001713)	(63, 97.92537153194168)
SRR18856087_1 - illumina_small_rna_3'_adapter	(1, 4.2675066637116554e-05)	(2, 0.06064126969134262)	(3, 0.06544932719912443)	(4, 0.09647410064430816)	(5, 0.17737180196606878)	(6, 0.19691698248586814)	(7, 0.2252247766884888)	(8, 0.24814128747262038)	(9, 0.2908590291763741)	(10, 0.37876966644883414)	(11, 0.621804170947213)	(12, 1.1354554980137601)	(13, 1.8678592166621668)	(14, 2.620490916896567)	(15, 3.619556901938102)	(16, 4.287179869431366)	(17, 5.636110275786196)	(18, 8.114564345892227)	(19, 9.77828026878464)	(20, 12.96511199502238)	(21, 23.56373506977231)	(22, 27.644339166635607)	(23, 34.74343607687543)	(24, 38.134766722438236)	(25, 40.26076741718832)	(26, 42.67553606284956)	(27, 45.41317003766501)	(28, 47.931795570498785)	(29, 50.08101150149946)	(30, 54.34499035970245)	(31, 58.76166060633304)	(32, 69.84246925901574)	(33, 81.15146149300712)	(34, 90.48341746485637)	(35, 92.30611223599426)	(36, 94.04640145345587)	(37, 95.54933195028184)	(38, 96.3197307032595)	(39, 96.6453414617007)	(40, 96.91719586120134)	(41, 97.1510125513061)	(42, 97.334401537668)	(43, 97.48554239867445)	(44, 97.53016629335467)	(45, 97.54863037218632)	(46, 97.5612479668887)	(47, 97.56616982457417)	(48, 97.56821822777276)	(49, 97.56945580470524)	(50, 97.5755014391455)	(51, 97.57646874065594)	(52, 97.57720844181098)	(53, 97.57779166772168)	(54, 97.57800504305487)	(55, 97.57809039318815)	(56, 97.57810461821036)	(57, 97.578147293277)	(58, 97.57818996834364)	(59, 97.57821841838806)	(60, 97.5782610934547)	(61, 97.57833221856576)	(62, 97.57836066861019)	(63, 97.5783748936324)
SRR18856088_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.04361625972756062)	(3, 0.047776824895547916)	(4, 0.0695550942437685)	(5, 0.10789599622244571)	(6, 0.12983352165365147)	(7, 0.15945515308889116)	(8, 0.1847967772939047)	(9, 0.2275172215546738)	(10, 0.29386728712836596)	(11, 0.4552335132130791)	(12, 0.8319935915352207)	(13, 1.4420638314306213)	(14, 2.0700304736514794)	(15, 2.9118183142902874)	(16, 3.477137594866858)	(17, 4.5755666132362505)	(18, 6.43462259095314)	(19, 8.45205874319877)	(20, 13.201294114930338)	(21, 20.10846931812119)	(22, 23.041209900313653)	(23, 37.8845735798936)	(24, 42.45852772528963)	(25, 45.45385594809526)	(26, 48.538307856341454)	(27, 51.14857477749935)	(28, 54.046657254632166)	(29, 57.51396078637469)	(30, 62.841594344497985)	(31, 67.59389539582702)	(32, 77.93608495993514)	(33, 86.14860264731387)	(34, 92.29156762929006)	(35, 93.94721377501415)	(36, 95.29760582367645)	(37, 96.39505939853755)	(38, 96.9918317555037)	(39, 97.21817446344635)	(40, 97.36906960207479)	(41, 97.50075447569314)	(42, 97.60062794673522)	(43, 97.65441668876345)	(44, 97.67093950737316)	(45, 97.67679216842286)	(46, 97.68111198967384)	(47, 97.68310269071115)	(48, 97.68403832019868)	(49, 97.68485450762398)	(50, 97.68674567360944)	(51, 97.6871438138169)	(52, 97.68730306989988)	(53, 97.68742251196213)	(54, 97.68750214000362)	(55, 97.68756186103474)	(56, 97.68760167505548)	(57, 97.68762158206586)	(58, 97.68762158206586)	(59, 97.68762158206586)	(60, 97.68762158206586)	(61, 97.68762158206586)	(62, 97.68762158206586)	(63, 97.68764148907623)
SRR18856089_1 - illumina_small_rna_3'_adapter	(1, 5.1403909301571656e-05)	(2, 0.13584339764762005)	(3, 0.13976722939097333)	(4, 0.16063721656741142)	(5, 0.21723292070844183)	(6, 0.2325855549531779)	(7, 0.25403811976836715)	(8, 0.2724578539347636)	(9, 0.331332464721497)	(10, 0.375505557447981)	(11, 0.4694547690148201)	(12, 0.7049360775253198)	(13, 1.08989995428479)	(14, 1.452794419317452)	(15, 2.001719632112502)	(16, 2.5523240392780697)	(17, 3.328660146823273)	(18, 4.63301721071422)	(19, 6.272442090069244)	(20, 9.552902504604077)	(21, 20.71383923461635)	(22, 23.72167044885208)	(23, 31.068025877413326)	(24, 35.209741657659556)	(25, 38.0171661641649)	(26, 40.679974339168474)	(27, 43.091314589868766)	(28, 45.05103722808189)	(29, 47.42118581279519)	(30, 50.40069347300575)	(31, 53.63437633007615)	(32, 69.25758361873926)	(33, 78.80570555977829)	(34, 88.83462539915135)	(35, 91.1116815041195)	(36, 93.12585801691942)	(37, 95.04504010533003)	(38, 96.03415412811088)	(39, 96.44699605834823)	(40, 96.84270335215173)	(41, 97.06886341844222)	(42, 97.3292413536911)	(43, 97.63307272693626)	(44, 97.70430141059181)	(45, 97.72063071911327)	(46, 97.73687435445257)	(47, 97.74535599948733)	(48, 97.74876579213768)	(49, 97.7509590256012)	(50, 97.75385477915853)	(51, 97.75471151098021)	(52, 97.75519128080036)	(53, 97.75544830034687)	(54, 97.75575672380268)	(55, 97.75594520480345)	(56, 97.75611655116779)	(57, 97.7562707628957)	(58, 97.75630503216857)	(59, 97.75639070535074)	(60, 97.7564249746236)	(61, 97.75649351316933)	(62, 97.75654491707864)	(63, 97.7565791863515)
SRR18856090_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.1622861888831337)	(3, 0.16868268839877376)	(4, 0.18992106569679743)	(5, 0.22457710018192545)	(6, 0.24823915112454709)	(7, 0.27997178544041773)	(8, 0.3117044197562884)	(9, 0.3793923775214014)	(10, 0.43975934170025455)	(11, 0.5436524861769396)	(12, 0.7420689027929466)	(13, 1.066616294232981)	(14, 1.4073798113982123)	(15, 1.9118037653893907)	(16, 2.2958186132638914)	(17, 3.0487315816419462)	(18, 4.5536580106536695)	(19, 6.212425250281783)	(20, 9.635626903177236)	(21, 15.795855717958347)	(22, 18.87696957839822)	(23, 38.152196210623735)	(24, 44.00511819906556)	(25, 48.09865301213911)	(26, 51.504913935848606)	(27, 54.23844301206165)	(28, 57.12668742030924)	(29, 60.879833511111045)	(30, 64.90747938190825)	(31, 68.74942687614202)	(32, 79.89707632498116)	(33, 86.66614695108102)	(34, 92.56204542064356)	(35, 94.07789087421908)	(36, 95.34677147930795)	(37, 96.34172698990477)	(38, 96.93367804469004)	(39, 97.20827776999037)	(40, 97.42333507987753)	(41, 97.56838070365993)	(42, 97.68091911701322)	(43, 97.75467875205294)	(44, 97.78151406642715)	(45, 97.79263298160082)	(46, 97.80230268985298)	(47, 97.80675025592245)	(48, 97.80939880650314)	(49, 97.81092297240335)	(50, 97.81559541540892)	(51, 97.81632001886967)	(52, 97.81654489580578)	(53, 97.81674478641564)	(54, 97.81689470437303)	(55, 97.81699464967797)	(56, 97.81704462233043)	(57, 97.81711958130913)	(58, 97.81714456763537)	(59, 97.81714456763537)	(60, 97.81719454028783)	(61, 97.81726949926653)	(62, 97.81726949926653)	(63, 97.81726949926653)
SRR18856091_1 - illumina_small_rna_3'_adapter	(1, 3.330966681506123e-05)	(2, 1.2160360064174405)	(3, 1.2432166945385303)	(4, 1.3630565483224168)	(5, 1.6578470996357089)	(6, 1.7899698930576493)	(7, 1.9490068972661592)	(8, 2.0670646838754396)	(9, 2.288832118113414)	(10, 2.4967094212895073)	(11, 2.8434297431674795)	(12, 3.5106723339733787)	(13, 4.42181663261586)	(14, 5.24195059410289)	(15, 6.390909258971501)	(16, 7.139502383556483)	(17, 8.264211610983729)	(18, 10.002201768976475)	(19, 12.03875479804932)	(20, 16.096421825626226)	(21, 25.329736555510642)	(22, 28.388313436636604)	(23, 40.739754404495606)	(24, 44.767234546521365)	(25, 47.09758716431975)	(26, 49.523280375959544)	(27, 51.33854063354653)	(28, 52.944649493201744)	(29, 55.02642872239274)	(30, 57.857359013087866)	(31, 60.73722953175103)	(32, 74.65544064275666)	(33, 82.30720406484527)	(34, 90.11697189147111)	(35, 92.69779654888535)	(36, 94.08603520531996)	(37, 95.25600394253216)	(38, 96.16865550359803)	(39, 96.5507506916336)	(40, 96.80787633719575)	(41, 96.99746663329039)	(42, 97.21340487583572)	(43, 97.47663451784175)	(44, 97.54975756391751)	(45, 97.5698932575072)	(46, 97.58613172007955)	(47, 97.59388454503076)	(48, 97.5986061903018)	(49, 97.60233687298508)	(50, 97.60784962284298)	(51, 97.60993147701892)	(52, 97.61104735085722)	(53, 97.61193838444451)	(54, 97.61253795844719)	(55, 97.61289603736545)	(56, 97.61318749695009)	(57, 97.61341233720108)	(58, 97.61356223070176)	(59, 97.6136621597022)	(60, 97.61373710645253)	(61, 97.61406187570398)	(62, 97.6141035127875)	(63, 97.61414514987102)
SRR18856092_1 - illumina_small_rna_3'_adapter	(1, 3.347019295231535e-05)	(2, 0.7463853028366323)	(3, 0.7729271658478184)	(4, 0.8748773735805709)	(5, 1.1684946412547574)	(6, 1.4279890472140584)	(7, 1.7577541232767453)	(8, 1.9384429599298196)	(9, 2.2343529358212395)	(10, 2.597655145222147)	(11, 3.474373379415095)	(12, 5.08887507685593)	(13, 6.978100118049371)	(14, 9.193893831878551)	(15, 12.65449422689377)	(16, 14.3368734756419)	(17, 16.46795413110877)	(18, 20.041064579733195)	(19, 23.771903312645406)	(20, 30.056718588976995)	(21, 35.857320583867434)	(22, 39.09905938716746)	(23, 52.01291413924872)	(24, 56.251278142993364)	(25, 59.271695295396206)	(26, 61.804117034554295)	(27, 64.17507856291041)	(28, 66.42020890086229)	(29, 68.75087231690382)	(30, 71.29534332552474)	(31, 74.07370404249643)	(32, 80.8879173607548)	(33, 87.61430489270627)	(34, 93.08609571203317)	(35, 94.28473026204149)	(36, 96.49724389696134)	(37, 97.02727787255421)	(38, 97.28814455642456)	(39, 97.40309793411927)	(40, 97.4976344941131)	(41, 97.55108639225794)	(42, 97.59595318591052)	(43, 97.63069524619503)	(44, 97.64169020457986)	(45, 97.64568989263766)	(46, 97.6491038523188)	(47, 97.65102838841355)	(48, 97.65153044130784)	(49, 97.65181493794793)	(50, 97.65260148748231)	(51, 97.65276883844707)	(52, 97.65283577883298)	(53, 97.6528859841224)	(54, 97.65290271921889)	(55, 97.65291945431537)	(56, 97.65291945431537)	(57, 97.65291945431537)	(58, 97.65293618941183)	(59, 97.65295292450831)	(60, 97.65295292450831)	(61, 97.65296965960479)	(62, 97.65298639470127)	(63, 97.65298639470127)
