Sample	Unique Reads	Duplicate Reads
SRR18856083_1	1463888.0	3270949.0
SRR18856084_1	1004966.0	2164812.0
SRR18856085_1	843256.0	2258067.0
SRR18856086_1	2082831.0	5042734.0
SRR18856087_1	636282.0	6393584.0
SRR18856088_1	656966.0	4366390.0
SRR18856089_1	552853.0	5283279.0
SRR18856090_1	742688.0	3259501.0
SRR18856091_1	1499988.0	10508538.0
SRR18856092_1	874293.0	5101173.0
SRR18856093_1	931743.0	8860468.0
SRR18856094_1	2908657.0	8097942.0
SRR18856095_1	1112489.0	3593893.0
SRR18856096_1	687413.0	1932703.0
SRR18856097_1	2307749.0	4902517.0
SRR18856098_1	1935683.0	4033871.0
SRR18856099_1	644526.0	2874538.0
SRR18856100_1	719884.0	5684888.0
SRR18856101_1	1185207.0	9914940.0
SRR18856102_1	546749.0	3595376.0
SRR18856103_1	566661.0	4862492.0
SRR18856104_1	706522.0	5090610.0
SRR18856105_1	809712.0	7542801.0
SRR18856106_1	620581.0	2913010.0
SRR18856107_1	922106.0	2058915.0
SRR18856108_1	1191205.0	2039279.0
SRR18856109_1	1314344.0	3134600.0
SRR18856110_1	1186709.0	1794383.0
SRR18856111_1	1755018.0	3132926.0
SRR18856112_1	1135535.0	5919675.0
SRR18856113_1	1146266.0	8146571.0
SRR18856114_1	645284.0	7262405.0
SRR18856115_1	952735.0	6560316.0
SRR18856116_1	704282.0	5354090.0
SRR18856117_1	1233252.0	8452974.0
SRR18856118_1	862186.0	7450612.0
SRR18856119_1	581232.0	3060359.0
SRR18856120_1	779124.0	3379093.0
SRR18856121_1	1331731.0	2183879.0
SRR18856122_1	634756.0	7247922.0
SRR18856123_1	724383.0	5796118.0
SRR18856124_1	533438.0	5341228.0
SRR18856125_1	545800.0	3476131.0
SRR18856126_1	565274.0	4544383.0
SRR18856127_1	778378.0	7143191.0
SRR18856128_1	870939.0	5421803.0
SRR18856129_1	881880.0	6503473.0
SRR18856130_1	1533502.0	9706826.0
