Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR18856083_1	69.08261842545622	55.0	74.0	74	40.0	4.734837
SRR18856084_1	68.29540506194945	54.0	74.0	74	50.0	3.169778
SRR18856085_1	72.80980332556517	55.0	74.0	74	50.0	3.101323
SRR18856086_1	70.76961506359206	53.0	74.0	74	40.0	7.125565
SRR18856087_1	90.94888538571774	52.0	74.0	74	40.0	7.029865999999999
SRR18856088_1	86.92178728433196	56.0	74.0	74	50.0	5.023356
SRR18856089_1	90.52707130394681	54.0	74.0	74	50.0	5.836132
SRR18856090_1	81.44296001318324	56.0	74.0	74	50.0	4.0021889999999996
SRR18856091_1	87.50897885306904	56.0	74.0	74	50.0	12.008526
SRR18856092_1	85.36863075710738	55.0	74.0	74	40.0	5.975466
SRR18856093_1	90.48485787862909	56.0	74.0	74	40.0	9.792211
SRR18856094_1	73.57352553424485	54.0	74.0	74	50.0	11.006599
SRR18856095_1	76.36212197268708	51.0	74.0	74	50.0	4.706382
SRR18856096_1	73.7640618749048	52.0	74.0	74	50.0	2.620116
SRR18856097_1	67.99357777534281	54.0	74.0	74	40.0	7.210266
SRR18856098_1	67.57407679352787	57.0	74.0	74	40.0	5.969554
SRR18856099_1	81.68473807720301	56.0	74.0	74	50.0	3.5190639999999997
SRR18856100_1	88.76019551100191	57.0	74.0	74	40.0	6.4047719999999995
SRR18856101_1	89.32260204899437	59.0	74.0	74	40.0	11.100147
SRR18856102_1	86.80027852451705	55.0	74.0	74	50.0	4.142125
SRR18856103_1	89.56263310600525	55.0	74.0	74	40.0	5.4291529999999995
SRR18856104_1	87.8125726349319	55.0	74.0	74	50.0	5.7971319999999995
SRR18856105_1	90.30576871666025	55.0	74.0	74	50.0	8.352513
SRR18856106_1	82.43769201238139	54.0	74.0	74	50.0	3.533591
SRR18856107_1	69.06746948268452	54.0	74.0	74	50.0	2.9810209999999997
SRR18856108_1	63.12612563323714	54.0	74.0	74	50.0	3.2304839999999997
SRR18856109_1	70.45718869665698	55.0	74.0	74	40.0	4.448944
SRR18856110_1	60.19216252804972	54.0	74.0	74	30.0	2.981092
SRR18856111_1	64.09497289396697	56.0	74.0	74	50.0	4.887944
SRR18856112_1	83.90502819264552	55.0	74.0	74	50.0	7.05521
SRR18856113_1	87.66506054198467	59.0	74.0	74	50.0	9.292837
SRR18856114_1	91.83979334001594	56.0	74.0	74	40.0	7.9076889999999995
SRR18856115_1	87.31894542363773	58.0	74.0	74	50.0	7.513051
SRR18856116_1	88.3750726023499	55.0	74.0	74	40.0	6.058371999999999
SRR18856117_1	87.26798386656765	57.0	74.0	74	50.0	9.686226
SRR18856118_1	89.62821897774367	54.0	74.0	74	40.0	8.312797999999999
SRR18856119_1	84.03908497036444	55.0	74.0	74	50.0	3.641591
SRR18856120_1	81.26303594311932	55.0	74.0	74	50.0	4.158217
SRR18856121_1	62.11950931811142	52.0	74.0	74	40.0	3.5156099999999997
SRR18856122_1	91.94745745975516	55.0	74.0	74	40.0	7.882677999999999
SRR18856123_1	88.89069651165796	54.0	74.0	74	50.0	6.520500999999999
SRR18856124_1	90.91970278167733	56.0	74.0	74	40.0	5.8746659999999995
SRR18856125_1	86.42940793022083	56.0	74.0	74	50.0	4.0219309999999995
SRR18856126_1	88.9371546097906	56.0	74.0	74	40.0	5.1096569999999994
SRR18856127_1	90.1739496956908	55.0	74.0	74	40.0	7.921569
SRR18856128_1	86.15963195175944	56.0	74.0	74	50.0	6.292742
SRR18856129_1	88.05906814202862	55.0	74.0	74	50.0	7.385352999999999
SRR18856130_1	86.35715039077775	55.0	74.0	74	50.0	11.240328
