miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-let-7a-1-3p,79,47,26,159,6,14,6,22,14,8,26,237,7,47,209,143,17,32,11,25,11,14,22,11,39,28,44,92,58,32,9,18,10,16,9,24,10,21,47,11,9,8,18,13,12,16,13,24
rno-let-7a-2-3p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-let-7a-5p,2188,1332,2111,4868,16,8,237,32,60,40,85,9346,79,876,7728,3230,161,59,89,54,111,32,68,18,1497,116,1001,6094,892,90,114,21,32,18,24,67,53,1483,1297,41,22,7,11,10,35,18,12,49
rno-let-7b-3p,0,0,1,8,0,0,0,1,0,0,0,1,0,0,2,4,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
rno-let-7b-5p,976,488,786,2656,9,8,136,13,34,30,43,3434,34,338,3835,2280,93,46,84,23,50,24,45,15,496,17,404,4829,280,44,62,22,15,16,14,41,33,624,375,16,12,4,9,3,18,23,8,25
rno-let-7c-1-3p,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-let-7c-2-3p,79,47,26,159,6,14,6,22,14,8,26,237,7,47,208,143,17,32,11,25,11,14,22,11,39,28,44,92,58,32,9,18,10,16,9,24,10,21,47,11,9,8,18,13,12,16,13,24
rno-let-7c-5p,4323,2311,3847,10323,17,11,512,30,70,51,144,15737,104,1633,16481,7788,193,82,131,75,164,48,128,25,2337,163,1720,15946,1419,113,123,24,40,33,37,151,68,2766,2039,75,32,13,22,21,59,33,18,87
rno-let-7d-3p,3,5,3,50,3,4,2,33,50,10,41,29,3,2,37,56,95,43,9,28,4,16,27,13,1,3,0,16,1,68,29,8,15,8,26,5,37,1,10,14,21,2,10,7,6,28,6,53
rno-let-7d-5p,38,43,42,143,1,4,9,4,8,6,13,298,6,19,245,93,37,25,26,15,32,11,14,2,48,5,33,153,46,6,12,8,5,3,3,5,12,23,28,9,0,1,2,0,3,4,1,2
rno-let-7e-3p,3,4,1,11,1,1,0,2,3,0,5,7,0,1,15,17,0,3,0,2,0,0,4,1,2,0,2,11,1,0,0,1,0,1,0,1,0,2,3,0,0,0,0,1,1,2,1,3
rno-let-7e-5p,379,183,336,781,5,0,43,4,11,5,19,1305,8,150,1161,535,10,23,4,3,14,7,7,1,261,8,168,761,125,12,12,5,3,3,4,14,4,310,279,8,2,2,2,3,7,5,2,7
