.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR18856083_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856084_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856085_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856086_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856087_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856088_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856089_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856090_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856091_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856092_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856093_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856094_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856095_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856096_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856097_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856098_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856099_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856100_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856101_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856102_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856103_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856104_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856105_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856106_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856107_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856108_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856109_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856110_1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
SRR18856111_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856112_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856113_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856114_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856115_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856116_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856117_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856118_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856119_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856120_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856121_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856122_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856123_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856124_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856125_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856126_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856127_1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR18856128_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856129_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR18856130_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
