Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR18856083_1	(1, 0.0014150434323293493)	(2, 0.0)	(3, 0.0)	(4, 2.112005122879626e-05)	(5, 0.0001689604098303701)	(6, 0.010200984743508593)	(7, 0.0018163244056764783)	(8, 0.0002745606659743514)	(9, 0.0003801609221183327)	(10, 0.00035904087088953646)	(11, 0.0001689604098303701)	(12, 0.0004435210758047215)	(13, 0.0008448020491518504)	(14, 0.0005491213319487028)	(15, 0.0006969616905502765)	(16, 0.0008448020491518504)	(17, 0.0007180817417790729)	(18, 0.0006547215880926841)	(19, 8.448020491518504e-05)	(20, 0.0007180817417790729)	(21, 0.0004224010245759252)	(22, 0.00014784035860157383)	(23, 0.0002112005122879626)	(24, 0.00023232056351675886)	(25, 8.448020491518504e-05)	(26, 0.000570241383177499)	(27, 2.112005122879626e-05)	(28, 6.336015368638879e-05)	(29, 0.0001056002561439813)	(30, 0.0001056002561439813)	(31, 0.0004435210758047215)	(32, 0.0012883231249565719)	(33, 0.0)	(34, 0.0004435210758047215)	(35, 0.00035904087088953646)	(36, 2.112005122879626e-05)	(37, 0.0004224010245759252)	(38, 0.0004224010245759252)	(39, 0.0001689604098303701)	(40, 0.0003168007684319439)	(41, 0.0004224010245759252)	(42, 0.000401280973347129)	(43, 0.00023232056351675886)	(44, 0.00048576117826231395)	(45, 0.00048576117826231395)	(46, 0.0007814418954654616)	(47, 0.000570241383177499)	(48, 0.0004646411270335177)	(49, 0.002534406147455551)	(50, 0.0008659221003806467)	(51, 0.0008448020491518504)	(52, 0.0006758416393214804)	(53, 0.0008448020491518504)	(54, 0.0012672030737277756)	(55, 0.001605123893388516)	(56, 0.0012883231249565719)	(57, 0.0008448020491518504)	(58, 0.0003379208196607402)	(59, 0.00025344061474555515)	(60, 0.0023020855839387924)	(61, 0.0002745606659743514)	(62, 0.000401280973347129)	(63, 0.00048576117826231395)	(64, 0.000802561946694258)	(65, 0.0002745606659743514)	(66, 0.00048576117826231395)	(67, 0.0003379208196607402)	(68, 0.0005913614344062953)	(69, 0.0016684840470749045)	(70, 0.000887042151609443)	(71, 0.00025344061474555515)	(72, 0.0002112005122879626)	(73, 0.00035904087088953646)	(74, 0.000802561946694258)
SRR18856084_1	(1, 0.0014196577804502398)	(2, 6.309590135334399e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0003785754081200639)	(6, 0.010978686835481853)	(7, 0.0019875208926303355)	(8, 0.0003785754081200639)	(9, 0.0007571508162401278)	(10, 0.0004416713094734079)	(11, 0.00012619180270668798)	(12, 0.0003785754081200639)	(13, 0.0007256028655634559)	(14, 0.0004101233587967359)	(15, 0.0011988221257135357)	(16, 0.0007571508162401278)	(17, 0.0008517946682701438)	(18, 0.00028393155609004794)	(19, 0.00015773975338335996)	(20, 0.0007256028655634559)	(21, 0.0003154795067667199)	(22, 0.00022083565473670396)	(23, 6.309590135334399e-05)	(24, 0.00022083565473670396)	(25, 9.464385203001598e-05)	(26, 0.0003785754081200639)	(27, 0.00018928770406003196)	(28, 3.1547950676671996e-05)	(29, 0.00025238360541337597)	(30, 0.00012619180270668798)	(31, 0.0003154795067667199)	(32, 0.0010095344216535039)	(33, 0.0)	(34, 0.0005994110628567679)	(35, 0.0004101233587967359)	(36, 0.00025238360541337597)	(37, 0.00034702745744339195)	(38, 0.0006625069642101119)	(39, 0.00022083565473670396)	(40, 0.0005678631121800959)	(41, 0.0004416713094734079)	(42, 0.0007886987669167999)	(43, 0.0005678631121800959)	(44, 0.0007886987669167999)	(45, 0.0008202467175934718)	(46, 0.0012619180270668797)	(47, 0.0010726303230068478)	(48, 0.0010095344216535039)	(49, 0.0028077676102238073)	(50, 0.001230370076390208)	(51, 0.0010095344216535039)	(52, 0.0010095344216535039)	(53, 0.0013881098297735678)	(54, 0.0015773975338335999)	(55, 0.0020821647446603517)	(56, 0.0017035893365402875)	(57, 0.0011672741750368637)	(58, 0.0006309590135334398)	(59, 0.0005047672108267519)	(60, 0.0025869319554871033)	(61, 0.0004101233587967359)	(62, 0.0004732192601500799)	(63, 0.0004416713094734079)	(64, 0.0009779864709768319)	(65, 0.00025238360541337597)	(66, 0.0005363151615034239)	(67, 0.0005047672108267519)	(68, 0.0007886987669167999)	(69, 0.0017666852378936317)	(70, 0.0009779864709768319)	(71, 0.0004101233587967359)	(72, 0.0006309590135334398)	(73, 0.00028393155609004794)	(74, 0.0008202467175934718)
SRR18856085_1	(1, 0.0016122151739757517)	(2, 0.0)	(3, 0.0)	(4, 3.2244303479515035e-05)	(5, 0.00038693164175418037)	(6, 0.011124284700432687)	(7, 0.0014832379600576914)	(8, 0.0002579544278361203)	(9, 0.0006126417661107856)	(10, 0.0002901987313156353)	(11, 3.2244303479515035e-05)	(12, 0.00038693164175418037)	(13, 0.000935084800905936)	(14, 0.00035468733827466535)	(15, 0.0009673291043854511)	(16, 0.0006126417661107856)	(17, 0.0009673291043854511)	(18, 0.0004514202487132104)	(19, 9.673291043854509e-05)	(20, 0.0006448860695903006)	(21, 0.0003224430347951503)	(22, 0.00019346582087709018)	(23, 3.2244303479515035e-05)	(24, 0.00019346582087709018)	(25, 9.673291043854509e-05)	(26, 0.0005159088556722406)	(27, 0.00019346582087709018)	(28, 9.673291043854509e-05)	(29, 6.448860695903007e-05)	(30, 0.00019346582087709018)	(31, 0.0002579544278361203)	(32, 0.0012252835322215713)	(33, 3.2244303479515035e-05)	(34, 0.0009028404974264208)	(35, 0.0006126417661107856)	(36, 9.673291043854509e-05)	(37, 0.0002579544278361203)	(38, 0.0002901987313156353)	(39, 0.00012897721391806014)	(40, 0.00035468733827466535)	(41, 0.0004191759452336954)	(42, 0.0005803974626312706)	(43, 0.0002579544278361203)	(44, 0.0006448860695903006)	(45, 0.0007093746765493307)	(46, 0.0009673291043854511)	(47, 0.0007416189800288457)	(48, 0.0006126417661107856)	(49, 0.0032244303479515035)	(50, 0.0011607949252625412)	(51, 0.0007416189800288457)	(52, 0.0007093746765493307)	(53, 0.0009028404974264208)	(54, 0.0011930392287420562)	(55, 0.0019346582087709022)	(56, 0.0013542607461396313)	(57, 0.0009995734078649659)	(58, 0.0004191759452336954)	(59, 0.00038693164175418037)	(60, 0.0026117885818407174)	(61, 0.0004191759452336954)	(62, 0.0006448860695903006)	(63, 0.0005481531591517556)	(64, 0.0009995734078649659)	(65, 0.00035468733827466535)	(66, 0.0006448860695903006)	(67, 0.00035468733827466535)	(68, 0.0009028404974264208)	(69, 0.0026440328853202326)	(70, 0.0012252835322215713)	(71, 0.0004191759452336954)	(72, 0.0003224430347951503)	(73, 0.00038693164175418037)	(74, 0.000935084800905936)
SRR18856086_1	(1, 0.0014454994095205083)	(2, 1.4033974849713673e-05)	(3, 1.4033974849713673e-05)	(4, 0.0)	(5, 0.00022454359759541877)	(6, 0.011016670257025234)	(7, 0.0017682808310639229)	(8, 0.0004210192454914102)	(9, 0.0007438006670348246)	(10, 0.00023857757244513244)	(11, 0.00012630577364742304)	(12, 0.0004350532203411238)	(13, 0.0007016987424856836)	(14, 0.0004771551448902649)	(15, 0.0006315288682371152)	(16, 0.0008981743903816751)	(17, 0.0009543102897805297)	(18, 0.0003929512957919828)	(19, 9.82378239479957e-05)	(20, 0.0007438006670348246)	(21, 0.00040698527064169645)	(22, 0.00026664552214455977)	(23, 0.00011227179879770938)	(24, 0.0001403397484971367)	(25, 0.00016840769819656407)	(26, 0.0005332910442891195)	(27, 1.4033974849713673e-05)	(28, 7.016987424856835e-05)	(29, 9.82378239479957e-05)	(30, 0.00016840769819656407)	(31, 0.0003929512957919828)	(32, 0.001206921837075376)	(33, 0.0)	(34, 0.000729766692185111)	(35, 0.0005613589939885468)	(36, 5.613589939885469e-05)	(37, 0.0002947134718439871)	(38, 0.0003508493712428418)	(39, 0.00015437372334685037)	(40, 0.00030874744669370075)	(41, 0.0004350532203411238)	(42, 0.00044908719519083754)	(43, 0.0002526115472948461)	(44, 0.0005052230945896922)	(45, 0.0005192570694394058)	(46, 0.0007718686167342519)	(47, 0.000603460918537688)	(48, 0.0004911891197399785)	(49, 0.002722591120844452)	(50, 0.0010806160634279527)	(51, 0.0007438006670348246)	(52, 0.0006315288682371152)	(53, 0.0008280045161331068)	(54, 0.0012630577364742305)	(55, 0.0018524846801622045)	(56, 0.0013191936358730853)	(57, 0.0009543102897805297)	(58, 0.00044908719519083754)	(59, 0.0002526115472948461)	(60, 0.002568217397497602)	(61, 0.0003648833460925555)	(62, 0.0004350532203411238)	(63, 0.0005052230945896922)	(64, 0.0008280045161331068)	(65, 0.00032278142154341444)	(66, 0.0005473250191388332)	(67, 0.00044908719519083754)	(68, 0.000729766692185111)	(69, 0.0023296398250524696)	(70, 0.0012911256861736578)	(71, 0.0004350532203411238)	(72, 0.0002947134718439871)	(73, 0.0002806794969942734)	(74, 0.0007578346418845382)
SRR18856087_1	(1, 0.0014794023100867073)	(2, 0.0)	(3, 0.0)	(4, 1.4225022212372185e-05)	(5, 0.00028450044424744366)	(6, 0.011223542525561655)	(7, 0.001849252887608384)	(8, 0.0003698505775216768)	(9, 0.0007254761328309814)	(10, 0.0002702754220350715)	(11, 7.112511106186091e-05)	(12, 0.0004125256441587933)	(13, 0.0010384266215031693)	(14, 0.0005547758662825152)	(15, 0.0008108262661052145)	(16, 0.0007823762216804702)	(17, 0.0007966012438928423)	(18, 0.0004978757774330265)	(19, 0.00012802519991134966)	(20, 0.0007966012438928423)	(21, 0.00038407559973404893)	(22, 0.00034140053309693243)	(23, 9.957515548660529e-05)	(24, 0.0001849252887608384)	(25, 9.957515548660529e-05)	(26, 0.0005263258218577709)	(27, 5.690008884948874e-05)	(28, 5.690008884948874e-05)	(29, 0.00011380017769897748)	(30, 0.00017070026654846622)	(31, 0.00035562555530930465)	(32, 0.001166451821414519)	(33, 1.4225022212372185e-05)	(34, 0.0005832259107072595)	(35, 0.0004125256441587933)	(36, 8.535013327423311e-05)	(37, 0.00028450044424744366)	(38, 0.00046942573300828215)	(39, 0.00012802519991134966)	(40, 0.0003698505775216768)	(41, 0.0004978757774330265)	(42, 0.00045520071079590993)	(43, 0.0003698505775216768)	(44, 0.0006685760439814926)	(45, 0.0007397011550433536)	(46, 0.000839276310529959)	(47, 0.0007397011550433536)	(48, 0.0005547758662825152)	(49, 0.0030441547534476475)	(50, 0.0010242015992907973)	(51, 0.0009530764882289364)	(52, 0.0007966012438928423)	(53, 0.0011380017769897746)	(54, 0.0013940521768124742)	(55, 0.0018065778209712675)	(56, 0.0013940521768124742)	(57, 0.0010526516437155417)	(58, 0.00039830062194642115)	(59, 0.00024182537761032713)	(60, 0.002332903642829038)	(61, 0.0002702754220350715)	(62, 0.00046942573300828215)	(63, 0.00045520071079590993)	(64, 0.000924626443804192)	(65, 0.00031295048867218805)	(66, 0.00048365075522065426)	(67, 0.0003271755108845602)	(68, 0.0006970260884062371)	(69, 0.0019772780875197335)	(70, 0.001223351910264008)	(71, 0.0002560503998226993)	(72, 0.00034140053309693243)	(73, 0.0003271755108845602)	(74, 0.0007539261772557258)
SRR18856088_1	(1, 0.0015726538194784524)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0003185121659703195)	(6, 0.01086922766373715)	(7, 0.0018911659854487716)	(8, 0.00047776824895547917)	(9, 0.0008560014460452335)	(10, 0.00023888412447773958)	(11, 1.9907010373144968e-05)	(12, 0.0002986051555971745)	(13, 0.0008161874252989435)	(14, 0.000537489280074914)	(15, 0.0008958154667915234)	(16, 0.0008360944356720886)	(17, 0.0008360944356720886)	(18, 0.00035832618671660936)	(19, 7.962804149257987e-05)	(20, 0.0008360944356720886)	(21, 0.0002986051555971745)	(22, 0.00019907010373144968)	(23, 7.962804149257987e-05)	(24, 0.00021897711410459462)	(25, 0.00011944206223886979)	(26, 0.000537489280074914)	(27, 9.953505186572484e-05)	(28, 0.00011944206223886979)	(29, 0.00019907010373144968)	(30, 0.00019907010373144968)	(31, 0.0003185121659703195)	(32, 0.0012541416535081329)	(33, 0.0)	(34, 0.00047776824895547917)	(35, 0.0004180472178360443)	(36, 5.9721031119434896e-05)	(37, 0.00023888412447773958)	(38, 0.00025879113485088455)	(39, 3.9814020746289935e-05)	(40, 0.00035832618671660936)	(41, 0.00023888412447773958)	(42, 0.00037823319708975436)	(43, 0.00023888412447773958)	(44, 0.00043795422820918923)	(45, 0.000497675259328624)	(46, 0.0007763734045526537)	(47, 0.000637024331940639)	(48, 0.0004578612385823342)	(49, 0.0026078183588819906)	(50, 0.0009356294875378133)	(51, 0.0007564663941795087)	(52, 0.00047776824895547917)	(53, 0.0009555364979109583)	(54, 0.0014333047468664374)	(55, 0.0018115379439561919)	(56, 0.0015129327883590174)	(57, 0.000995350518657248)	(58, 0.0002986051555971745)	(59, 0.0002786981452240295)	(60, 0.0024883762966431207)	(61, 0.0004578612385823342)	(62, 0.0004578612385823342)	(63, 0.00039814020746289935)	(64, 0.0006171173215674939)	(65, 0.0002986051555971745)	(66, 0.00043795422820918923)	(67, 0.00039814020746289935)	(68, 0.000577303300821204)	(69, 0.0019508870165682068)	(70, 0.0010948855705229731)	(71, 0.0003185121659703195)	(72, 0.0002986051555971745)	(73, 0.00037823319708975436)	(74, 0.000597210311194349)
SRR18856089_1	(1, 0.0016277904612164358)	(2, 1.713463643385722e-05)	(3, 0.0)	(4, 1.713463643385722e-05)	(5, 0.00020561563720628663)	(6, 0.011171782954874906)	(7, 0.001816271461988865)	(8, 0.0006853854573542888)	(9, 0.0006682508209204316)	(10, 0.0002912888193755727)	(11, 3.426927286771444e-05)	(12, 0.0005140390930157166)	(13, 0.000856731821692861)	(14, 0.0005654430023172883)	(15, 0.0008738664581267181)	(16, 0.0007367893666558605)	(17, 0.0009595396402960043)	(18, 0.0003426927286771444)	(19, 3.426927286771444e-05)	(20, 0.0008053279123912893)	(21, 0.0003426927286771444)	(22, 0.00030842345580942997)	(23, 0.0001713463643385722)	(24, 0.00023988491007400107)	(25, 0.00011994245503700054)	(26, 0.0004969044565818594)	(27, 3.426927286771444e-05)	(28, 8.56731821692861e-05)	(29, 0.00010280781860314331)	(30, 0.0001713463643385722)	(31, 0.0002741541829417155)	(32, 0.001250828459671577)	(33, 0.0)	(34, 0.0004969044565818594)	(35, 0.00041123127441257325)	(36, 6.853854573542888e-05)	(37, 0.00037696200154485886)	(38, 0.00039409663797871606)	(39, 0.00010280781860314331)	(40, 0.00032555809224328716)	(41, 0.00037696200154485886)	(42, 0.0003598273651110016)	(43, 0.0002912888193755727)	(44, 0.0004455005472802877)	(45, 0.0004283659108464305)	(46, 0.0006168469116188599)	(47, 0.0005140390930157166)	(48, 0.00039409663797871606)	(49, 0.002261772009269153)	(50, 0.0006511161844865743)	(51, 0.0006511161844865743)	(52, 0.000548308365883431)	(53, 0.0007539240030897177)	(54, 0.0010623474588991476)	(55, 0.001473578733311721)	(56, 0.0012679630961054344)	(57, 0.0006168469116188599)	(58, 0.00032555809224328716)	(59, 0.00023988491007400107)	(60, 0.002261772009269153)	(61, 0.00020561563720628663)	(62, 0.0005140390930157166)	(63, 0.00037696200154485886)	(64, 0.0007710586395235749)	(65, 0.00030842345580942997)	(66, 0.0005311737294495738)	(67, 0.0002741541829417155)	(68, 0.0006339815480527172)	(69, 0.001713463643385722)	(70, 0.0009766742767298615)	(71, 0.0002570195465078583)	(72, 0.00023988491007400107)	(73, 0.0002741541829417155)	(74, 0.000702520093788146)
SRR18856090_1	(1, 0.0017490428363078306)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00029983591479562806)	(6, 0.011168887826137147)	(7, 0.0017490428363078306)	(8, 0.0006746308082901633)	(9, 0.0006996171345231321)	(10, 0.0004747401984264112)	(11, 9.994530493187602e-05)	(12, 0.00042476754596047317)	(13, 0.0007495897869890702)	(14, 0.0005996718295912561)	(15, 0.0010993983542506363)	(16, 0.0006496444820571942)	(17, 0.0013742479428132954)	(18, 0.00042476754596047317)	(19, 0.00012493163116484503)	(20, 0.0008245487656879771)	(21, 0.0005496991771253182)	(22, 0.00024986326232969005)	(23, 7.495897869890702e-05)	(24, 0.00012493163116484503)	(25, 0.00014991795739781403)	(26, 0.0006746308082901633)	(27, 4.997265246593801e-05)	(28, 7.495897869890702e-05)	(29, 7.495897869890702e-05)	(30, 0.00017490428363078304)	(31, 0.0005496991771253182)	(32, 0.0008745214181539153)	(33, 0.0)	(34, 0.0008745214181539153)	(35, 0.0006496444820571942)	(36, 7.495897869890702e-05)	(37, 0.0003747948934945351)	(38, 0.00034980856726156607)	(39, 0.00012493163116484503)	(40, 0.0003248222410285971)	(41, 0.0004747401984264112)	(42, 0.0004747401984264112)	(43, 0.00034980856726156607)	(44, 0.0005996718295912561)	(45, 0.0005746855033582873)	(46, 0.0007745761132220393)	(47, 0.0005746855033582873)	(48, 0.0005247128508923492)	(49, 0.00327320873651894)	(50, 0.0011743573329495434)	(51, 0.0009244940706198532)	(52, 0.0006746308082901633)	(53, 0.0008745214181539153)	(54, 0.0012493163116484504)	(55, 0.0018989607937056447)	(56, 0.0012493163116484504)	(57, 0.0009244940706198532)	(58, 0.0003997812197275041)	(59, 0.00034980856726156607)	(60, 0.003173263431587064)	(61, 0.0003747948934945351)	(62, 0.0005496991771253182)	(63, 0.00042476754596047317)	(64, 0.0004747401984264112)	(65, 0.0003248222410285971)	(66, 0.0006496444820571942)	(67, 0.00042476754596047317)	(68, 0.0007745761132220393)	(69, 0.0026235642544617456)	(70, 0.0010993983542506363)	(71, 0.0003248222410285971)	(72, 9.994530493187602e-05)	(73, 0.00042476754596047317)	(74, 0.0007745761132220393)
SRR18856091_1	(1, 0.0014822801732702249)	(2, 0.0)	(3, 8.327416703765308e-06)	(4, 0.0)	(5, 0.00022484025100166332)	(6, 0.010967207798858911)	(7, 0.0017737397579020108)	(8, 0.0004580079187070919)	(9, 0.00067452075300499)	(10, 0.000324769251446847)	(11, 0.00010825641714894901)	(12, 0.0004580079187070919)	(13, 0.0007494675033388777)	(14, 0.000324769251446847)	(15, 0.0006828481697087553)	(16, 0.0006661933363012246)	(17, 0.000891033587302888)	(18, 0.0004663353354108573)	(19, 0.00012491125055647963)	(20, 0.0007411400866351124)	(21, 0.00039971600178073473)	(22, 0.00028313216792802046)	(23, 9.992900044518368e-05)	(24, 0.00014989350066777553)	(25, 0.00010825641714894901)	(26, 0.0005329546690409797)	(27, 8.327416703765308e-05)	(28, 5.829191692635716e-05)	(29, 0.00011658383385271433)	(30, 0.00012491125055647963)	(31, 0.00034142408485437765)	(32, 0.0012657673389723269)	(33, 0.0)	(34, 0.0005745917525598062)	(35, 0.00048299016881838785)	(36, 2.498225011129592e-05)	(37, 0.0003081144180393164)	(38, 0.00042469825189203066)	(39, 0.0001832031674828368)	(40, 0.0003164418347430817)	(41, 0.00042469825189203066)	(42, 0.00048299016881838785)	(43, 0.000324769251446847)	(44, 0.0006661933363012246)	(45, 0.0006828481697087553)	(46, 0.0009826351710443065)	(47, 0.0006828481697087553)	(48, 0.0005496095024485104)	(49, 0.0029312506797253886)	(50, 0.0011575109218233779)	(51, 0.0009743077543405411)	(52, 0.0006661933363012246)	(53, 0.0009659803376367757)	(54, 0.0013656963394175106)	(55, 0.0018819961750509596)	(56, 0.0014239882563438675)	(57, 0.000999290004451837)	(58, 0.00042469825189203066)	(59, 0.00034142408485437765)	(60, 0.002623136261686072)	(61, 0.000324769251446847)	(62, 0.0004663353354108573)	(63, 0.0005579369191522756)	(64, 0.0008077594202652348)	(65, 0.0004080434184845001)	(66, 0.0006412110861899287)	(67, 0.00035807891826190825)	(68, 0.0008660513371915921)	(69, 0.0020152348423112046)	(70, 0.0012407850888610308)	(71, 0.0003664063349656736)	(72, 0.00021651283429789802)	(73, 0.00039971600178073473)	(74, 0.0009076884207104186)
SRR18856092_1	(1, 0.0017571851299965561)	(2, 0.0)	(3, 1.6735096476157675e-05)	(4, 3.347019295231535e-05)	(5, 0.00011714567533310373)	(6, 0.01136313050731106)	(7, 0.0019914764806627633)	(8, 0.0003012317365708381)	(9, 0.0008032846308555684)	(10, 0.0004016423154277842)	(11, 6.69403859046307e-05)	(12, 0.0004351125083800995)	(13, 0.0009706355956171451)	(14, 0.00046858270133241493)	(15, 0.0006526687625701493)	(16, 0.000820019727331726)	(17, 0.0007363442449509378)	(18, 0.0006024634731416763)	(19, 8.367548238078838e-05)	(20, 0.0006024634731416763)	(21, 0.0003681721224754689)	(22, 0.00021755625419004975)	(23, 0.00010041057885694606)	(24, 0.00015061586828541906)	(25, 0.00011714567533310373)	(26, 0.00038490721895162656)	(27, 3.347019295231535e-05)	(28, 6.69403859046307e-05)	(29, 0.00010041057885694606)	(30, 0.00015061586828541906)	(31, 0.0003347019295231535)	(32, 0.0016233043581872946)	(33, 3.347019295231535e-05)	(34, 0.00071960914847478)	(35, 0.0005355230872370456)	(36, 8.367548238078838e-05)	(37, 0.00023429135066620747)	(38, 0.0002677615436185228)	(39, 5.020528942847303e-05)	(40, 0.0003681721224754689)	(41, 0.0003347019295231535)	(42, 0.00038490721895162656)	(43, 0.0002008211577138921)	(44, 0.00045184760485625727)	(45, 0.0003681721224754689)	(46, 0.0005857283766655186)	(47, 0.00045184760485625727)	(48, 0.0004351125083800995)	(49, 0.0027947611115183317)	(50, 0.000820019727331726)	(51, 0.0005522581837132032)	(52, 0.0004183774119039419)	(53, 0.0006526687625701493)	(54, 0.0010543110779979335)	(55, 0.001690244744091925)	(56, 0.001238397139235668)	(57, 0.0006359336660939917)	(58, 0.0002844966400946805)	(59, 0.00018408606123773445)	(60, 0.0024935293749474936)	(61, 0.0004016423154277842)	(62, 0.000568993280189361)	(63, 0.00021755625419004975)	(64, 0.000820019727331726)	(65, 0.0003681721224754689)	(66, 0.0006024634731416763)	(67, 0.0003514370259993112)	(68, 0.0007028740519986223)	(69, 0.001907800998281975)	(70, 0.0011547216568548796)	(71, 0.0003347019295231535)	(72, 0.00023429135066620747)	(73, 0.0002844966400946805)	(74, 0.0009036952097125145)
