Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR18856083_1	(1, 22.28748127971459)	(2, 29.554859438667055)	(3, 30.80426337802125)	(4, 31.21725098456399)	(5, 31.362662959675276)	(6, 34.81959590161182)	(7, 34.85096403529836)	(8, 35.039645504164135)	(9, 34.94091222147669)	(10, 35.09609137547924)	(11, 35.23847494644483)	(12, 35.19529521290807)	(13, 35.0753658468074)	(14, 35.15882869885489)	(15, 34.93889589018587)	(16, 35.30143276315531)	(17, 35.19375492757195)	(18, 35.16582387102238)	(19, 35.30842730172126)	(20, 34.979692859543)	(21, 34.862447218351974)	(22, 34.903942416602725)	(23, 35.062827294793884)	(24, 34.98719829214818)	(25, 35.25957979123674)	(26, 35.010539539164704)	(27, 34.897398791130506)	(28, 35.035621289603)	(29, 34.9080000008448)	(30, 34.85889229132914)	(31, 35.10898622275698)	(32, 35.00178358832627)	(33, 35.142980001212294)	(34, 35.20828679002044)	(35, 35.12283611875129)	(36, 34.989815066495424)	(37, 35.03211240429185)	(38, 34.97485362220495)	(39, 34.95091657854325)	(40, 34.957083844702574)	(41, 34.86377778157939)	(42, 34.971918357485166)	(43, 34.99003513742923)	(44, 35.105798362224505)	(45, 34.96737332246073)	(46, 34.96509594733673)	(47, 34.75498860890037)	(48, 34.66904626283861)	(49, 34.477727744376416)	(50, 34.1158700922545)	(51, 34.2503047095391)	(52, 34.198547278396276)	(53, 34.24267572463424)	(54, 34.07397551383501)	(55, 33.66984945838685)	(56, 33.749846510027695)	(57, 33.8142622438745)	(58, 33.633167731011646)	(59, 33.23484800004731)	(60, 33.12341354095189)	(61, 32.52470085031438)	(62, 31.345114942710804)	(63, 32.40403080401712)	(64, 32.40202503275192)	(65, 32.607865698439035)	(66, 32.969948279106546)	(67, 33.27562300455116)	(68, 33.32486651599622)	(69, 33.318147594098804)	(70, 33.44358992717173)	(71, 33.433338043104754)	(72, 33.44772269879618)	(73, 33.229033861144536)	(74, 32.019414184691044)
SRR18856084_1	(1, 22.205186924762554)	(2, 29.528760058275374)	(3, 30.814681659094106)	(4, 31.23400440030816)	(5, 31.360405365927836)	(6, 34.81584924874865)	(7, 34.854336171176655)	(8, 35.056755709705854)	(9, 34.954687047484086)	(10, 35.10281161646021)	(11, 35.26301715766846)	(12, 35.20457268616288)	(13, 35.085987094364334)	(14, 35.18084988917205)	(15, 34.977472554860306)	(16, 35.317387842303155)	(17, 35.20608225560276)	(18, 35.17263701117239)	(19, 35.312223758256884)	(20, 34.98694041033789)	(21, 34.86631145777402)	(22, 34.91783241602409)	(23, 35.0814489216595)	(24, 35.020658544541604)	(25, 35.281535489236155)	(26, 35.0495501577713)	(27, 34.93203656533675)	(28, 35.06123741157898)	(29, 34.929729779183276)	(30, 34.92749208304178)	(31, 35.120142483164436)	(32, 35.02974246145945)	(33, 35.149805443788175)	(34, 35.21533243022066)	(35, 35.14738287665571)	(36, 35.04162405064329)	(37, 35.072294021852635)	(38, 35.00131176378913)	(39, 34.99240956306719)	(40, 35.0318381918229)	(41, 34.90113944888254)	(42, 35.004305664308355)	(43, 35.03640665056039)	(44, 35.125259876243696)	(45, 35.000348289375474)	(46, 35.02290318123225)	(47, 34.87112977628086)	(48, 34.8429063486465)	(49, 34.70188984843733)	(50, 34.43703533812147)	(51, 34.5993145261277)	(52, 34.59589977594646)	(53, 34.62481378822113)	(54, 34.48806919601309)	(55, 34.29435594543214)	(56, 34.278084143432125)	(57, 34.33037550263772)	(58, 34.04802418339707)	(59, 33.63844281839296)	(60, 33.171128388171034)	(61, 32.850855485778496)	(62, 32.03178739962231)	(63, 32.67390586974861)	(64, 32.83093989547533)	(65, 33.01521336825481)	(66, 33.3381277805575)	(67, 33.62126748308557)	(68, 33.69974584970935)	(69, 33.62995673514044)	(70, 33.7272089717324)	(71, 33.64217304808097)	(72, 33.61015061622612)	(73, 33.404728343751515)	(74, 32.304740899835885)
SRR18856085_1	(1, 22.200984870005477)	(2, 29.58290639188501)	(3, 30.845391789246072)	(4, 31.284900669810916)	(5, 31.34579339204591)	(6, 34.78857700407213)	(7, 34.83340754897184)	(8, 35.08206110746929)	(9, 34.97709977322582)	(10, 35.13402280252654)	(11, 35.27656938667788)	(12, 35.19302955545101)	(13, 35.09247053596159)	(14, 35.221747621902004)	(15, 34.92307508763196)	(16, 35.30153260398868)	(17, 35.217228260326316)	(18, 35.179595288849306)	(19, 35.31603415703556)	(20, 34.956944181563806)	(21, 34.92043589139216)	(22, 34.86488347069944)	(23, 35.072962409913444)	(24, 35.03144496719626)	(25, 35.320720544103274)	(26, 35.06054674085866)	(27, 34.95462968546004)	(28, 35.09487563855812)	(29, 34.95257056423984)	(30, 34.96358360609327)	(31, 35.095977748851055)	(32, 35.00308094319747)	(33, 35.11961701506099)	(34, 35.20401615697559)	(35, 35.11765236964998)	(36, 35.03127374994478)	(37, 35.04044016053794)	(38, 34.986396128361996)	(39, 34.993708491505075)	(40, 34.94284407009525)	(41, 34.82693353771923)	(42, 34.95395577951732)	(43, 34.952813686288074)	(44, 34.9695239741233)	(45, 34.78338405899676)	(46, 34.85898244071966)	(47, 34.58603344443645)	(48, 34.50305272943192)	(49, 34.34870827708046)	(50, 33.96364487026988)	(51, 34.008699513078774)	(52, 33.94036706270195)	(53, 33.884590221657014)	(54, 33.61020119478042)	(55, 33.17121305971677)	(56, 32.95682520008396)	(57, 33.0616072560001)	(58, 32.70818873106735)	(59, 32.210305408369265)	(60, 31.939610933785357)	(61, 31.180759953090988)	(62, 29.061118754802386)	(63, 29.57726138167485)	(64, 28.72558227569331)	(65, 28.838777837716354)	(66, 29.077452106729933)	(67, 29.06364670819518)	(68, 28.711149403012843)	(69, 28.11337129347701)	(70, 29.334457907157688)	(71, 30.048962974833643)	(72, 28.86664594432763)	(73, 29.373483832545013)	(74, 27.39271594735537)
SRR18856086_1	(1, 22.077552867737506)	(2, 29.54857207814398)	(3, 30.759490791256553)	(4, 31.12082564680836)	(5, 31.425854090166887)	(6, 34.8874747476165)	(7, 34.91652437385667)	(8, 34.985486203550174)	(9, 34.94978671866722)	(10, 35.07833638455337)	(11, 35.206082605379365)	(12, 35.23124762738113)	(13, 35.142218055691025)	(14, 35.130209744771115)	(15, 34.84758331444594)	(16, 35.3458201560157)	(17, 35.216264675152075)	(18, 35.18870700077819)	(19, 35.293034868112215)	(20, 35.031684083998954)	(21, 34.86578201167206)	(22, 35.03974028726143)	(23, 35.10045687605123)	(24, 34.96545803736265)	(25, 35.22826891621928)	(26, 35.043281480135256)	(27, 34.92739452941626)	(28, 35.046349587716904)	(29, 34.94715843585737)	(30, 34.90921281329972)	(31, 35.17173880246689)	(32, 35.07899036778136)	(33, 35.20391098811112)	(34, 35.22460927659772)	(35, 35.15414244344133)	(36, 35.00417216038307)	(37, 34.99382013917493)	(38, 34.909126083335146)	(39, 34.92163667021492)	(40, 34.96504585952132)	(41, 34.88118050989641)	(42, 34.89775940574537)	(43, 34.914602842020244)	(44, 35.01812403647991)	(45, 34.96980071054015)	(46, 34.99983874962898)	(47, 34.8484047229939)	(48, 34.850566516479745)	(49, 34.733023697068234)	(50, 34.44883682907952)	(51, 34.60906440401568)	(52, 34.65208765901371)	(53, 34.63527495714375)	(54, 34.50020917639514)	(55, 34.33151799190661)	(56, 34.23976175924295)	(57, 34.168773704260644)	(58, 33.96227204439227)	(59, 33.81541982986612)	(60, 33.80261551189274)	(61, 33.516026448429)	(62, 33.0813911598589)	(63, 32.70670424029533)	(64, 32.54452594285506)	(65, 32.646431546130025)	(66, 33.03541908606545)	(67, 33.432364451099666)	(68, 33.58321424336175)	(69, 33.642977504240015)	(70, 33.71388612692467)	(71, 33.692298645791595)	(72, 33.75297481673383)	(73, 33.48254587530954)	(74, 32.12290534154134)
SRR18856087_1	(1, 22.24479541999805)	(2, 29.634969002254095)	(3, 30.696368892380026)	(4, 31.08966159525658)	(5, 31.394451046435307)	(6, 34.9125365974259)	(7, 34.892748880277374)	(8, 34.97251284732881)	(9, 35.01949838019672)	(10, 35.235716299571)	(11, 35.18959778180694)	(12, 35.2418984942245)	(13, 35.21641906118836)	(14, 35.19659194072832)	(15, 35.1755093198078)	(16, 35.323292791071694)	(17, 35.19330539159637)	(18, 35.24045095596417)	(19, 35.24629246133568)	(20, 35.06597423051876)	(21, 34.984371252595714)	(22, 35.10801116265943)	(23, 35.17032259220873)	(24, 34.99293144421245)	(25, 35.2056642331447)	(26, 35.06032632769956)	(27, 34.98940349645356)	(28, 34.9726310572634)	(29, 34.97980388246376)	(30, 35.0082628886525)	(31, 35.158132601674055)	(32, 35.103274372512935)	(33, 35.13314194040114)	(34, 35.186612234145)	(35, 35.15535744209065)	(36, 35.040293228917875)	(37, 35.03082946389021)	(38, 34.888490619878105)	(39, 34.9042685877654)	(40, 34.92967390843581)	(41, 34.946060138272905)	(42, 34.96918931313911)	(43, 35.04628950253106)	(44, 35.09908410771983)	(45, 35.002416973524106)	(46, 34.99589508534017)	(47, 34.85395767145491)	(48, 34.90308108291111)	(49, 34.84514043368679)	(50, 34.6569523515811)	(51, 34.8036074940831)	(52, 34.677537950225506)	(53, 34.68482557135513)	(54, 34.48750260673532)	(55, 34.23187397882122)	(56, 34.21900559697724)	(57, 34.164938563551566)	(58, 34.2428308021803)	(59, 34.18599913568765)	(60, 34.35109673498755)	(61, 34.1694376535769)	(62, 33.73000708690606)	(63, 33.98974703073999)	(64, 33.81951263366898)	(65, 34.005617888022336)	(66, 33.831335476380346)	(67, 33.91550023855362)	(68, 33.8691916744928)	(69, 34.052543533546725)	(70, 34.06180871726431)	(71, 34.058958876314286)	(72, 34.114127637710304)	(73, 33.908110339514295)	(74, 32.588164838419395)
SRR18856088_1	(1, 22.172041559467417)	(2, 29.474109738589103)	(3, 30.64934856299255)	(4, 31.002888308135038)	(5, 31.38779413603177)	(6, 34.92830490214112)	(7, 34.93928700255367)	(8, 34.93165744175806)	(9, 34.97519865205651)	(10, 35.20648785393669)	(11, 35.21418370507684)	(12, 35.24634348033466)	(13, 35.2322029336563)	(14, 35.20390491934077)	(15, 35.14235403582784)	(16, 35.35962153588159)	(17, 35.199543293368016)	(18, 35.22083662794355)	(19, 35.267858778075855)	(20, 35.02182564803291)	(21, 34.975824926602854)	(22, 35.116973792022705)	(23, 35.195482661392106)	(24, 34.97592306816399)	(25, 35.18165385849619)	(26, 35.10082681776884)	(27, 34.96922694708478)	(28, 34.969173795367084)	(29, 34.98901471446579)	(30, 34.97974023740304)	(31, 35.15392000885464)	(32, 35.111932938856015)	(33, 35.14367227805475)	(34, 35.18851918916358)	(35, 35.148572587728204)	(36, 35.031472187119526)	(37, 35.00285745226896)	(38, 34.91182607802433)	(39, 34.91282122947289)	(40, 34.98365077052075)	(41, 34.984518318032805)	(42, 34.95995884026535)	(43, 35.06899968865436)	(44, 35.147199800292874)	(45, 35.04285959426328)	(46, 35.08335085150246)	(47, 34.93367939680166)	(48, 34.92033035285574)	(49, 34.85457570596231)	(50, 34.65908269292481)	(51, 34.738559441138555)	(52, 34.74380493837188)	(53, 34.75106442784465)	(54, 34.54787397110617)	(55, 34.433216956950695)	(56, 34.21102724951208)	(57, 34.08166632028469)	(58, 33.84303879717066)	(59, 33.498851564571574)	(60, 33.231684555106185)	(61, 32.85865664308881)	(62, 32.098032271652656)	(63, 31.604415454528805)	(64, 30.740079739520752)	(65, 30.725142116147055)	(66, 30.26504770914106)	(67, 30.227805475064876)	(68, 30.358163944582067)	(69, 30.263238360968245)	(70, 30.181639127308518)	(71, 29.618757858292344)	(72, 30.017960701968963)	(73, 30.05382994953971)	(74, 26.726332953507576)
SRR18856089_1	(1, 22.195515111721257)	(2, 29.639401576249476)	(3, 30.744875030242632)	(4, 31.117180865682954)	(5, 31.412562292970755)	(6, 34.93845769766688)	(7, 34.84518496154645)	(8, 34.936473678114204)	(9, 34.972521183551024)	(10, 35.17789419430541)	(11, 35.17728060297471)	(12, 35.25281710557609)	(13, 35.22975833994159)	(14, 35.22832177202298)	(15, 35.24352756243348)	(16, 35.351423339979284)	(17, 35.22488473530071)	(18, 35.24619953763897)	(19, 35.2738145744476)	(20, 35.112086052885715)	(21, 35.063518782645765)	(22, 35.15864942739472)	(23, 35.246595347740595)	(24, 35.05445370324043)	(25, 35.26391829382886)	(26, 35.10100816773849)	(27, 34.98631250972391)	(28, 35.04250812010421)	(29, 35.03570087174176)	(30, 35.010580637997904)	(31, 35.20516396818989)	(32, 35.132821190473415)	(33, 35.18174691730756)	(34, 35.213927135301255)	(35, 35.20053007711272)	(36, 35.12166585676952)	(37, 35.07425003409793)	(38, 34.97270418146814)	(39, 34.95015174434026)	(40, 35.00555693394186)	(41, 34.99270612796283)	(42, 35.007480810920654)	(43, 35.07595116080308)	(44, 35.132236213985564)	(45, 35.03758311155402)	(46, 35.05981718713696)	(47, 34.934590410223755)	(48, 34.98003797720819)	(49, 34.90778190075207)	(50, 34.725339659898026)	(51, 34.84508746546514)	(52, 34.78815061071271)	(53, 34.80674734567347)	(54, 34.60737556998368)	(55, 34.51263559494542)	(56, 34.469968808107836)	(57, 34.31802433529605)	(58, 34.18217682533569)	(59, 33.9996857507678)	(60, 33.70575151487321)	(61, 33.19827464491893)	(62, 32.4235204070093)	(63, 33.24142497119668)	(64, 32.89874132387684)	(65, 33.37118488752482)	(66, 33.52109770649464)	(67, 33.6882111302486)	(68, 33.8039310968292)	(69, 33.85999785474352)	(70, 33.68338773009246)	(71, 33.419872100219806)	(72, 33.21132506941241)	(73, 32.41078406040165)	(74, 31.504650511674512)
SRR18856090_1	(1, 22.10097773993182)	(2, 29.36775649525797)	(3, 30.679347726956422)	(4, 31.070456192848464)	(5, 31.429547929895364)	(6, 34.94490964819502)	(7, 34.950928854184546)	(8, 34.898949799722104)	(9, 34.93481867048258)	(10, 35.196642387453466)	(11, 35.214984349814564)	(12, 35.24160328260359)	(13, 35.231789403249074)	(14, 35.22041437823151)	(15, 35.15703456283549)	(16, 35.3970717025108)	(17, 35.205827360976706)	(18, 35.22274610219557)	(19, 35.24979629897538)	(20, 35.023236783670136)	(21, 35.01869776764666)	(22, 35.167076567348516)	(23, 35.21577766567246)	(24, 35.01132730113446)	(25, 35.19896311743398)	(26, 35.155424693836295)	(27, 35.014263944056616)	(28, 34.99256406931307)	(29, 35.00218880217801)	(30, 34.99496300649469)	(31, 35.17824495544813)	(32, 35.13687609455725)	(33, 35.146863628879096)	(34, 35.1737414200079)	(35, 35.15061457617319)	(36, 35.05464934314696)	(37, 35.02677959486671)	(38, 34.962575230705)	(39, 34.938805988422835)	(40, 35.048332550012006)	(41, 35.05581895307793)	(42, 34.99836864276025)	(43, 35.07927536655565)	(44, 35.19488235063361)	(45, 35.11441888426558)	(46, 35.15572627879393)	(47, 35.0244641120147)	(48, 35.0215641989921)	(49, 34.97175345792015)	(50, 34.79054462445427)	(51, 34.82261757253343)	(52, 34.83914602733654)	(53, 34.846510497130446)	(54, 34.56178956066293)	(55, 34.423453764927146)	(56, 34.36673805260072)	(57, 34.340262291460995)	(58, 34.153676400589774)	(59, 33.86419032184637)	(60, 33.78607332137488)	(61, 33.54848534139692)	(62, 32.894154923718)	(63, 32.63757133908469)	(64, 31.816628100272126)	(65, 32.66208217552944)	(66, 33.07949174814083)	(67, 33.12216539498759)	(68, 33.33501291418271)	(69, 33.60324962164456)	(70, 33.50131840350368)	(71, 33.57724735138695)	(72, 33.79180418515967)	(73, 33.50104680213753)	(74, 32.00926243113456)
SRR18856091_1	(1, 22.222620911175945)	(2, 29.544144385414164)	(3, 30.69321022413575)	(4, 31.071210238458907)	(5, 31.41080787100765)	(6, 34.90718794296652)	(7, 34.88212933044405)	(8, 34.91444578626886)	(9, 34.96801206076416)	(10, 35.17747648628983)	(11, 35.19422850065029)	(12, 35.2317087875731)	(13, 35.222352018890575)	(14, 35.19473830510089)	(15, 35.1814368391258)	(16, 35.33652589834922)	(17, 35.17655713948573)	(18, 35.19740924073446)	(19, 35.24580743714924)	(20, 35.03997243291975)	(21, 35.00788331557095)	(22, 35.12710202734291)	(23, 35.16808607484382)	(24, 34.919637680761156)	(25, 35.24107271783398)	(26, 35.10750062080891)	(27, 34.99205905870546)	(28, 35.0193573299504)	(29, 35.014552327238164)	(30, 35.00717198763612)	(31, 35.173424531870104)	(32, 35.10808037555983)	(33, 35.08178622422103)	(34, 35.169671032065054)	(35, 35.124475643388706)	(36, 35.01318063515872)	(37, 35.0099815747578)	(38, 34.93217110909366)	(39, 34.929219789339676)	(40, 34.93177239238188)	(41, 34.88079777651312)	(42, 34.81112286387189)	(43, 34.796796542723065)	(44, 34.84210826541076)	(45, 34.712261105151455)	(46, 34.86380426706825)	(47, 34.56241290563055)	(48, 34.548835802162564)	(49, 34.59586164030456)	(50, 34.26728967401994)	(51, 34.201291982046754)	(52, 34.207823341515855)	(53, 34.22217472818895)	(54, 33.765408010941556)	(55, 33.658358486295484)	(56, 33.4927946194229)	(57, 33.470118230996874)	(58, 33.117341045853586)	(59, 32.8815034418046)	(60, 32.639242318332826)	(61, 31.967148174555312)	(62, 30.99914427465952)	(63, 30.795860041440555)	(64, 29.47426303611284)	(65, 29.578844064625418)	(66, 28.99524562798132)	(67, 29.144049319625072)	(68, 29.13761230978723)	(69, 28.813093380486496)	(70, 29.128718378925107)	(71, 28.7893523318349)	(72, 28.695093552697475)	(73, 28.735045666720463)	(74, 25.38455877099321)
SRR18856092_1	(1, 22.306314854774506)	(2, 29.47085967855896)	(3, 30.646245665191636)	(4, 30.974444168873188)	(5, 31.344841222425163)	(6, 34.86284182689685)	(7, 34.92840926548657)	(8, 34.936728449295835)	(9, 34.966646450670126)	(10, 35.168159269921375)	(11, 35.20980171253589)	(12, 35.199820566295585)	(13, 35.19473477047648)	(14, 35.1251189446982)	(15, 35.08075487334377)	(16, 35.31191458540639)	(17, 35.16279801441427)	(18, 35.15235380805447)	(19, 35.262564459407855)	(20, 34.96117340471856)	(21, 34.935270822392766)	(22, 35.01175540116871)	(23, 35.11166777620356)	(24, 34.89672688289081)	(25, 35.202425551413064)	(26, 35.021932013335864)	(27, 34.91049986729068)	(28, 34.90609435314334)	(29, 34.96392097285802)	(30, 34.90128502111802)	(31, 35.126974364844514)	(32, 35.05918785246205)	(33, 35.09662342652439)	(34, 35.154075180078)	(35, 35.089274376257855)	(36, 34.85232917399245)	(37, 34.856036499914815)	(38, 34.788866843188465)	(39, 34.81700054857646)	(40, 34.880134871489524)	(41, 34.83520214155683)	(42, 34.81069894799837)	(43, 34.90782677033055)	(44, 34.9804460438734)	(45, 34.884271285285536)	(46, 34.88489650848988)	(47, 34.66787209566584)	(48, 34.62597260196945)	(49, 34.54802336754991)	(50, 34.207981938145075)	(51, 34.25903837458033)	(52, 34.230973115736916)	(53, 34.115652737376465)	(54, 33.80001358889834)	(55, 33.632149191376875)	(56, 33.53776307990038)	(57, 33.59334953960076)	(58, 33.55376969762693)	(59, 33.32594813525841)	(60, 33.584507384026615)	(61, 33.455108605755605)	(62, 33.0823950801494)	(63, 33.05981006334903)	(64, 32.64595096014269)	(65, 33.307413513858165)	(66, 33.46561925044842)	(67, 33.507880724281584)	(68, 33.69170488125947)	(69, 33.88405925161318)	(70, 33.86852188599182)	(71, 33.819105154309305)	(72, 33.891988340323586)	(73, 33.6320179882205)	(74, 32.29227293737426)
