Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR18856083_1	(17.0, 1.0)	(18.0, 8.0)	(19.0, 9.0)	(20.0, 31.0)	(21.0, 243.0)	(22.0, 628.0)	(23.0, 1953.0)	(24.0, 4896.0)	(25.0, 10788.0)	(26.0, 22302.0)	(27.0, 40245.0)	(28.0, 65102.0)	(29.0, 96988.0)	(30.0, 137098.0)	(31.0, 195477.0)	(32.0, 301287.0)	(33.0, 564099.0)	(34.0, 1584761.0)	(35.0, 1708921.0)			
SRR18856084_1	(16.0, 3.0)	(17.0, 4.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 29.0)	(21.0, 123.0)	(22.0, 440.0)	(23.0, 1178.0)	(24.0, 2847.0)	(25.0, 6186.0)	(26.0, 12535.0)	(27.0, 23014.0)	(28.0, 37827.0)	(29.0, 58032.0)	(30.0, 82992.0)	(31.0, 118433.0)	(32.0, 180442.0)	(33.0, 333640.0)	(34.0, 1000387.0)	(35.0, 1311655.0)		
SRR18856085_1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 7.0)	(19.0, 7.0)	(20.0, 43.0)	(21.0, 142.0)	(22.0, 591.0)	(23.0, 1919.0)	(24.0, 5183.0)	(25.0, 11859.0)	(26.0, 23925.0)	(27.0, 42983.0)	(28.0, 71277.0)	(29.0, 112675.0)	(30.0, 166427.0)	(31.0, 238034.0)	(32.0, 368601.0)	(33.0, 634311.0)	(34.0, 934174.0)	(35.0, 489164.0)		
SRR18856086_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 13.0)	(20.0, 73.0)	(21.0, 308.0)	(22.0, 1059.0)	(23.0, 2854.0)	(24.0, 6183.0)	(25.0, 13587.0)	(26.0, 27805.0)	(27.0, 51940.0)	(28.0, 86259.0)	(29.0, 131611.0)	(30.0, 190542.0)	(31.0, 275374.0)	(32.0, 420112.0)	(33.0, 759283.0)	(34.0, 2103599.0)	(35.0, 3054946.0)	
SRR18856087_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 18.0)	(20.0, 148.0)	(21.0, 829.0)	(22.0, 2929.0)	(23.0, 6841.0)	(24.0, 11415.0)	(25.0, 17919.0)	(26.0, 30216.0)	(27.0, 48912.0)	(28.0, 76033.0)	(29.0, 112869.0)	(30.0, 161391.0)	(31.0, 230369.0)	(32.0, 345701.0)	(33.0, 601844.0)	(34.0, 1672857.0)	(35.0, 3709564.0)		
SRR18856088_1	(17.0, 2.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 67.0)	(21.0, 427.0)	(22.0, 1654.0)	(23.0, 4538.0)	(24.0, 9027.0)	(25.0, 16127.0)	(26.0, 28996.0)	(27.0, 48636.0)	(28.0, 77151.0)	(29.0, 118626.0)	(30.0, 182267.0)	(31.0, 292513.0)	(32.0, 496428.0)	(33.0, 901476.0)	(34.0, 1555242.0)	(35.0, 1290162.0)			
SRR18856089_1	(17.0, 1.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 58.0)	(21.0, 359.0)	(22.0, 1220.0)	(23.0, 3217.0)	(24.0, 6185.0)	(25.0, 11819.0)	(26.0, 22903.0)	(27.0, 40063.0)	(28.0, 64072.0)	(29.0, 95703.0)	(30.0, 138928.0)	(31.0, 199881.0)	(32.0, 307593.0)	(33.0, 577830.0)	(34.0, 1850846.0)	(35.0, 2515439.0)			
SRR18856090_1	(17.0, 3.0)	(18.0, 3.0)	(19.0, 14.0)	(20.0, 54.0)	(21.0, 229.0)	(22.0, 724.0)	(23.0, 2057.0)	(24.0, 4501.0)	(25.0, 9112.0)	(26.0, 17130.0)	(27.0, 29843.0)	(28.0, 47532.0)	(29.0, 70727.0)	(30.0, 100169.0)	(31.0, 142896.0)	(32.0, 217297.0)	(33.0, 404889.0)	(34.0, 1177647.0)	(35.0, 1777362.0)			
SRR18856091_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 6.0)	(18.0, 13.0)	(19.0, 37.0)	(20.0, 241.0)	(21.0, 1318.0)	(22.0, 4969.0)	(23.0, 13246.0)	(24.0, 28039.0)	(25.0, 52598.0)	(26.0, 95608.0)	(27.0, 164614.0)	(28.0, 268268.0)	(29.0, 413524.0)	(30.0, 608908.0)	(31.0, 897411.0)	(32.0, 1449109.0)	(33.0, 2275039.0)	(34.0, 2876522.0)	(35.0, 2859055.0)	
SRR18856092_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 24.0)	(20.0, 136.0)	(21.0, 654.0)	(22.0, 2381.0)	(23.0, 6218.0)	(24.0, 11411.0)	(25.0, 18604.0)	(26.0, 31497.0)	(27.0, 51440.0)	(28.0, 78835.0)	(29.0, 114569.0)	(30.0, 163458.0)	(31.0, 234075.0)	(32.0, 357401.0)	(33.0, 653888.0)	(34.0, 1680370.0)	(35.0, 2570490.0)	
