Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18856083_1	(1.0, 27.18514298407741)	(2.0, 3.391342146698136)	(3.0, 1.8094018726803016)	(4.0, 1.2810275975069891)	(5.0, 0.993662979179432)	(6.0, 0.7932090980296729)	(7.0, 0.6690653308359273)	(8.0, 0.6196930116618022)	(9.0, 0.5129425935487486)	('>10', 8.63477381162077)	('>50', 4.236715372840316)	('>100', 10.510035725038666)	('>500', 4.685866314692428)	('>1k', 10.377458686771702)	('>5k', 3.326199199012423)	('>10k+', 20.97346327580528)
SRR18856084_1	(1.0, 27.950957792277325)	(2.0, 3.4076180855082523)	(3.0, 1.7726067208812608)	(4.0, 1.2341617808874843)	(5.0, 0.9786741746269302)	(6.0, 0.8222277516924238)	(7.0, 0.7275043657755884)	(8.0, 0.5991721924255793)	(9.0, 0.586549545599044)	('>10', 9.033112972285902)	('>50', 4.3601397807095115)	('>100', 10.86607015525174)	('>500', 4.288240923940991)	('>1k', 9.445248268529143)	('>5k', 3.089502728185328)	('>10k+', 20.83821276142345)
SRR18856085_1	(1.0, 23.723872666335208)	(2.0, 3.047070253692318)	(3.0, 1.6595761611871689)	(4.0, 1.2246271675558296)	(5.0, 0.9554882777382749)	(6.0, 0.7748484042232948)	(7.0, 0.6572352410407368)	(8.0, 0.5869626994385363)	(9.0, 0.5296947987611133)	('>10', 8.295455935381362)	('>50', 4.110908930090656)	('>100', 10.294223673047574)	('>500', 4.321937602423152)	('>1k', 9.057877701221182)	('>5k', 3.5486066910107055)	('>10k+', 27.211613796852895)
SRR18856086_1	(1.0, 25.408636840903604)	(2.0, 3.455385487946008)	(3.0, 1.7796310907836825)	(4.0, 1.264219277206817)	(5.0, 0.9839951825576185)	(6.0, 0.8471335492936801)	(7.0, 0.7109081486163954)	(8.0, 0.6256994314941631)	(9.0, 0.5491853622485956)	('>10', 9.472671944709147)	('>50', 4.473595645263888)	('>100', 11.51432489551617)	('>500', 5.233581952761658)	('>1k', 13.817213235548659)	('>5k', 4.6816318219110284)	('>10k+', 15.18218613323895)
SRR18856087_1	(1.0, 7.408917309797432)	(2.0, 1.3602865187820559)	(3.0, 0.75534503950037)	(4.0, 0.5311910946601734)	(5.0, 0.44081155377261266)	(6.0, 0.37354480613169316)	(7.0, 0.31554980063491134)	(8.0, 0.2813103808851246)	(9.0, 0.2576018894731293)	('>10', 4.675265792864718)	('>50', 2.5830903328321266)	('>100', 8.482944259458169)	('>500', 5.013552375794948)	('>1k', 16.952973510245727)	('>5k', 8.227215721435858)	('>10k+', 42.34039961373094)
SRR18856088_1	(1.0, 10.948156531596192)	(2.0, 1.9094203916594183)	(3.0, 0.9912648117441133)	(4.0, 0.7013797186866402)	(5.0, 0.5216872786928813)	(6.0, 0.44249122262306734)	(7.0, 0.3896760347083534)	(8.0, 0.33567951737445056)	(9.0, 0.3119799515190108)	('>10', 5.316989098699698)	('>50', 2.876194942467673)	('>100', 8.774275079974835)	('>500', 4.853217783878808)	('>1k', 16.541449796942633)	('>5k', 9.409243727924068)	('>10k+', 35.67689411150816)
SRR18856089_1	(1.0, 7.733384801403115)	(2.0, 1.4259104683017025)	(3.0, 0.8137136469601175)	(4.0, 0.5787014939118005)	(5.0, 0.46056269768901104)	(6.0, 0.3781672634718659)	(7.0, 0.3364741305236849)	(8.0, 0.2983032795167007)	(9.0, 0.28308570204546074)	('>10', 4.979188097736915)	('>50', 2.732435865823359)	('>100', 8.536408710593477)	('>500', 5.437685176550695)	('>1k', 15.82325961827552)	('>5k', 8.375637054683773)	('>10k+', 41.807081992512806)
SRR18856090_1	(1.0, 15.42917215105184)	(2.0, 2.9823441292782533)	(3.0, 1.5382981557628004)	(4.0, 1.086855961586201)	(5.0, 0.8306808786413261)	(6.0, 0.6463712669126508)	(7.0, 0.5318968815746842)	(8.0, 0.4644393957087574)	(9.0, 0.38085944841645364)	('>10', 5.990060817001901)	('>50', 2.925030604274642)	('>100', 8.265457324588041)	('>500', 5.638011462643211)	('>1k', 14.286688465919264)	('>5k', 6.501767331199945)	('>10k+', 32.50206572544004)
SRR18856091_1	(1.0, 10.470211739649885)	(2.0, 1.862694263912361)	(3.0, 0.9668901090497487)	(4.0, 0.6771079251274222)	(5.0, 0.5159361003489374)	(6.0, 0.4118352057546)	(7.0, 0.346069683464935)	(8.0, 0.2838441160265648)	(9.0, 0.26898847216134647)	('>10', 4.629660011269696)	('>50', 2.422798225156659)	('>100', 7.377592717039539)	('>500', 4.175439152665653)	('>1k', 13.273238876442628)	('>5k', 7.606885534995817)	('>10k+', 44.7108078669342)
SRR18856092_1	(1.0, 12.215255450348645)	(2.0, 2.220818954811988)	(3.0, 1.130395563874614)	(4.0, 0.7875403474812588)	(5.0, 0.5871474764516734)	(6.0, 0.4988440904403806)	(7.0, 0.43439124650681527)	(8.0, 0.3634803176132522)	(9.0, 0.32255307241796)	('>10', 5.711243355276547)	('>50', 3.020308804186361)	('>100', 9.796067414482383)	('>500', 5.732368844162844)	('>1k', 17.250044858846007)	('>5k', 9.050696448838993)	('>10k+', 30.87884375426028)
SRR18856093_1	(1.0, 7.805758630000133)	(2.0, 1.4368022883448073)	(3.0, 0.8201946397811278)	(4.0, 0.5690965137500751)	(5.0, 0.42626096712853384)	(6.0, 0.3770668795228737)	(7.0, 0.3300515518098984)	(8.0, 0.2695653153784403)	(9.0, 0.2651631984184295)	('>10', 4.670368043854487)	('>50', 2.7005545340572894)	('>100', 8.043700835676667)	('>500', 4.49911431357388)	('>1k', 13.65094617518782)	('>5k', 7.5132101226560914)	('>10k+', 46.62214599085942)
SRR18856094_1	(1.0, 23.152664390519764)	(2.0, 2.995633219722412)	(3.0, 1.5148703004553243)	(4.0, 1.1298320999023412)	(5.0, 0.845478758251589)	(6.0, 0.7002082178966395)	(7.0, 0.5970485407700091)	(8.0, 0.5273291111934005)	(9.0, 0.4819729977929265)	('>10', 7.587228829781657)	('>50', 3.7298379671956283)	('>100', 10.560399763826439)	('>500', 5.019703575759301)	('>1k', 12.153010728379757)	('>5k', 6.0282059989952765)	('>10k+', 22.976575499557597)
SRR18856095_1	(1.0, 19.413102763397422)	(2.0, 4.618032546849956)	(3.0, 1.9040003242527062)	(4.0, 1.1519600887860315)	(5.0, 0.8596963026501753)	(6.0, 0.6956814260958695)	(7.0, 0.6178943539719969)	(8.0, 0.543105765508758)	(9.0, 0.47771913957052664)	('>10', 7.764322362540664)	('>50', 3.677091959369537)	('>100', 9.92145525140431)	('>500', 4.032137439716635)	('>1k', 8.494890466775914)	('>5k', 2.3235844395890086)	('>10k+', 33.50532536952049)
SRR18856096_1	(1.0, 22.927556145204623)	(2.0, 3.0499152649284254)	(3.0, 1.5318842652729432)	(4.0, 1.0884679140936213)	(5.0, 0.8236430466780335)	(6.0, 0.7279324647745764)	(7.0, 0.6255133615192542)	(8.0, 0.5338032465749738)	(9.0, 0.48531876312206845)	('>10', 8.02544658214906)	('>50', 3.736749494500085)	('>100', 9.324655533126192)	('>500', 3.5640689958781953)	('>1k', 8.248630886712148)	('>5k', 4.796687586254858)	('>10k+', 30.509726449210937)
SRR18856097_1	(1.0, 28.05678282290932)	(2.0, 3.718108732164713)	(3.0, 1.9029348645910684)	(4.0, 1.3573239196006652)	(5.0, 1.0375270560244427)	(6.0, 0.8150173909992151)	(7.0, 0.7193267470704855)	(8.0, 0.6391775922399737)	(9.0, 0.5511706283662458)	('>10', 8.294388609856359)	('>50', 3.485172717049566)	('>100', 8.959148272530783)	('>500', 4.090443661777172)	('>1k', 12.216208939342263)	('>5k', 5.5878910326110605)	('>10k+', 18.56937701286666)
SRR18856098_1	(1.0, 28.328503769651388)	(2.0, 3.834251507808196)	(3.0, 1.87147828421289)	(4.0, 1.3425387604137746)	(5.0, 1.0120141849805693)	(6.0, 0.8681918007556599)	(7.0, 0.7566520065243777)	(8.0, 0.6681349566104403)	(9.0, 0.578624982774259)	('>10', 9.76547527670172)	('>50', 4.496206702228889)	('>100', 10.829694760177915)	('>500', 4.671165037082027)	('>1k', 11.953882296747375)	('>5k', 4.339914030805447)	('>10k+', 14.683271642525094)
SRR18856099_1	(1.0, 15.244892233226675)	(2.0, 2.8600229796970096)	(3.0, 1.553160104140524)	(4.0, 1.0260126031707038)	(5.0, 0.7909219357161764)	(6.0, 0.6298297992679329)	(7.0, 0.5116580377145583)	(8.0, 0.44028010158806746)	(9.0, 0.38812097428115505)	('>10', 6.501672478255176)	('>50', 3.37988403843551)	('>100', 10.452662147300737)	('>500', 5.809898097200538)	('>1k', 16.924423990310363)	('>5k', 7.236913044965021)	('>10k+', 26.24964743472985)
SRR18856100_1	(1.0, 9.273711608786897)	(2.0, 1.7068406852405897)	(3.0, 0.9083233153496169)	(4.0, 0.6507051461875696)	(5.0, 0.5182300824861782)	(6.0, 0.4219482159310079)	(7.0, 0.371204862265109)	(8.0, 0.3154191034586684)	(9.0, 0.2750804184443224)	('>10', 5.148689776407946)	('>50', 2.913755760546895)	('>100', 8.994087805304488)	('>500', 5.323593454605779)	('>1k', 17.55768495435793)	('>5k', 9.509534070198242)	('>10k+', 36.111190740428746)
