Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR18856083_1	SRR18856083_1.fastq	Conventional base calls	Sanger / Illumina 1.9	4734837.0	350.3 Mbp	0.0	74.0	55.0	30.91738157454379	74.0	74	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
SRR18856084_1	SRR18856084_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3169778.0	234.5 Mbp	0.0	74.0	54.0	31.70459493805055	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856085_1	SRR18856085_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3101323.0	229.4 Mbp	0.0	74.0	55.0	27.19019667443483	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856086_1	SRR18856086_1.fastq	Conventional base calls	Sanger / Illumina 1.9	7125565.0	527.2 Mbp	0.0	74.0	53.0	29.230384936407944	74.0	74	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
SRR18856087_1	SRR18856087_1.fastq	Conventional base calls	Sanger / Illumina 1.9	7029866.0	520.2 Mbp	0.0	74.0	52.0	9.051114614282262	74.0	74	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
SRR18856088_1	SRR18856088_1.fastq	Conventional base calls	Sanger / Illumina 1.9	5023356.0	371.7 Mbp	0.0	74.0	56.0	13.07821271566805	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856089_1	SRR18856089_1.fastq	Conventional base calls	Sanger / Illumina 1.9	5836132.0	431.8 Mbp	0.0	74.0	54.0	9.472928696053188	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856090_1	SRR18856090_1.fastq	Conventional base calls	Sanger / Illumina 1.9	4002189.0	296.1 Mbp	0.0	74.0	56.0	18.557039986816765	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856091_1	SRR18856091_1.fastq	Conventional base calls	Sanger / Illumina 1.9	12008526.0	888.6 Mbp	0.0	74.0	56.0	12.491021146930962	74.0	74	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SRR18856092_1	SRR18856092_1.fastq	Conventional base calls	Sanger / Illumina 1.9	5975466.0	442.1 Mbp	0.0	74.0	55.0	14.631369242892623	74.0	74	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
